Word,Count,pos,freq
zaten,zaten,Adv,63064
burası,bura,Noun,62854
kaç,kaç,Adj,62624
hazır,hazır,Adj,62320
nereye,nere,Pron,61630
hepsi,hepsi,Pron,61375
olmalı,olmak,Adj,60903
dinle,dinlemek,Verb,60334
istemiyorum,istemek,Verb,59872
dilerim,dilmek,Verb,59632
lazım,lazım,Adj,59622
etmek,etmek,Noun,58947
ilgili,ilgili,Adj,58566
kendini,kendi,Pron,58496
karşı,karşı,Adj,57426
olduğu,olmak,Adj,57285
söz,söz,Noun,57147
az,az,Adv,56585
eski,eski,Adj,56198
ediyorum,etmek,Verb,56100
kesinlikle,kesinlikle,Adv,55790
anda,an,Noun,55731
fakat,fakat,Conj,55457
tane,tane,Noun,55291
benden,ben,Noun,54745
gerekiyor,gerekmek,Verb,54702
aman,aman,Interj,54554
an,anmak,Verb,54383
bunlar,bu,Pron,54199
işe,işemek,Verb,53846
işi,iş,Noun,53823
birşey,birşey,Noun,53657
istiyor,istemek,Verb,53044
yapmak,yapmak,Noun,53040
zor,zor,Adj,52431
görmek,görmek,Noun,52119
tatlım,tatlı,Noun,51852
seviyorum,sevmek,Verb,51542
İki,iki,Num,51446
misiniz,mi,Ques,51078
bundan,bu,Pron,50980
diğer,diğer,Adj,50644
kadın,kadın,Adj,50051
onlara,o,Pron,49456
kişi,kişi,Noun,49370
yapma,yapmak,Verb,48868
oraya,ora,Noun,48542
senden,se,Noun,48107
kabul,kabul,Noun,48008
elbette,elbette,Adv,47952
kontrol,Kontrol,Noun,47414
kez,kez,Noun,47324
hoş,hoş,Adj,47233
hafta,hafta,Adv,47052
yarın,yarın,Adv,47052
gidip,gitmek,Adv,46866
özel,özel,Adj,46595
edin,etmek,Verb,46523
zorunda,zor,Noun,46242
gereken,gerekmek,Adj,46128
yanlış,yanlış,Adv,46078
yerde,yer,Noun,46045
doktor,doktor,Noun,45759
bakın,bakmak,Verb,45267
sağ,sağ,Adj,45196
dışarı,dışarı,Adv,44645
niye,niye,Adv,44546
ediyor,etmek,Verb,44328
gördüm,görmek,Verb,44293
bazı,bazı,Det,44287
kahretsin,kahretmek,Verb,44210
ihtiyacım,ihtiyaç,Noun,44177
geç,geç,Adj,44086
dr,Dr,Noun,44041
birini,biri,Pron,43965
eminim,emin,Noun,43710
sakin,sakin,Adj,43529
nereden,nere,Pron,43423
falan,falan,Adj,43150
mutlu,mutlu,Adj,43048
dikkat,dikkat,Interj,42970
dedim,demek,Verb,42698
yemek,yemek,Noun,42563
hem,hem,Conj,42410
gidiyor,gitmek,Verb,42273
ondan,o,Pron,42160
insan,insan,Adj,42083
musunuz,mu,Ques,41951
polis,polis,Noun,41673
ha,ha,Conj,41654
erkek,erkek,Adj,41485
yalan,yalan,Adj,41298
gitti,gitmek,Verb,40812
yalnız,yalnız,Conj,40726
değildi,değil,Verb,40618
beri,beri,Postp,40339
beş,beş,Num,40265
görüşürüz,görüşmek,Verb,40243
çabuk,çabuk,Adv,40231
insanlar,insan,Noun,40066
merak,merak,Noun,39892
etti,etmek,Verb,39693
babam,baba,Noun,39409
haber,haber,Noun,39169
nefret,nefret,Noun,38985
gördün,görmek,Verb,38579
umarım,ummak,Verb,38406
sence,se,Noun,38390
dün,dün,Adv,37986
öldü,ölmek,Verb,37769
değilsin,değil,Verb,37703
ateş,ateş,Noun,37437
veya,veya,Conj,37400
ah,ah,Interj,37398
sanki,sanki,Adv,37268
dolar,dolmak,Verb,37164
yaptım,yapmak,Verb,36872
geçen,geçen,Adj,36869
ayrıca,ayrıca,Adv,36822
tanrı,tanrı,Noun,36722
kes,kesmek,Verb,36675
jack,Jack,Noun,35895
yap,yapmak,Verb,35833
sabah,sabah,Adv,35812
etme,etmek,Verb,35812
olduğumu,olmak,Noun,35779
kendine,kendi,Pron,35733
kendimi,kendi,Pron,35690
karar,karmak,Verb,35688
yerine,yerine,Adv,35596
aptal,aptal,Interj,35498
üzerinde,üzerinde,Adv,35433
istediğim,istemek,Adj,35387
dört,dört,Num,35135
bunları,bu,Pron,35040
su,su,Noun,34938
sonunda,sonunda,Adv,34933
hâlâ,hâlâ,Adv,34911
vardır,varmak,Verb,34896
akşam,akşam,Noun,34807
yeter,yeter,Adj,34539
yaptın,yapmak,Verb,34507
adı,ad,Noun,34440
tamamen,tamamen,Adv,34232
boyunca,boyunca,Postp,34061
hangi,hangi,Adj,33822
olmuş,olmak,Adj,33812
ay,ay,Interj,33674
farklı,fark,Adj,33431
pekâlâ,pekâlâ,Adj,33398
kal,kalmak,Verb,33380
olması,olmak,Noun,33308
olamaz,olamaz,Interj,33295
adamım,adam,Noun,33255
bitti,bitmek,Verb,33214
açık,açık,Adj,33170
ettim,etmek,Verb,33162
bende,ben,Noun,32734
beraber,beraber,Adj,32680
söyledim,söylemek,Verb,32603
yol,yolmak,Verb,32591
neyse,neyse,Interj,32409
adamı,ada,Noun,32281
bazen,bazen,Adv,32220
tarafından,tarafından,Adv,32176
İlk,ilk,Adv,31972
adım,ad,Noun,31799
olursa,olur,Verb,31769
john,John,Noun,31766
aldım,almak,Verb,31747
oldukça,oldukça,Adv,31730
annem,Anne,Noun,31722
tabi,tabi,Interj,31669
yüzünden,yüzünden,Adv,31659
birisi,biri,Pron,31657
konuşmak,konuşmak,Noun,31509
fark,fark,Noun,31360
buldum,bulmak,Verb,31252
cevap,cevap,Noun,31063
zamanı,zaman,Noun,31011
henüz,henüz,Adv,30886
kolay,kolay,Adj,30886
olmadığını,olmak,Noun,30714
yapıyor,Unk,Unk,30575
saniye,saniye,Adv,30519
gitmek,gitmek,Noun,30509
mükemmel,mükemmel,Adj,30459
gelecek,gelecek,Adj,30401
öyleyse,öyle,Verb,30383
aç,aç,Adj,30377
yoktu,yok,Verb,30331
sahip,sahip,Noun,30309
yanında,yanında,Adv,30154
yolu,yol,Noun,30088
ise,ise,Adv,30055
onların,o,Pron,29979
dedi,demek,Verb,29833
sakın,sakın,Interj,29788
içeri,içeri,Adj,29619
kan,kanmak,Verb,29599
uzak,uzak,Adj,29526
görünüyor,görünmek,Verb,29456
olun,o,Noun,29444
bilirsin,bilmek,Verb,29408
başına,baş,Noun,29404
oldum,olmak,Verb,29134
durum,durum,Noun,29021
bebeğim,bebek,Noun,28997
sanmıyorum,sanmak,Verb,28987
olsa,olmak,Verb,28974
yardımcı,yardımcı,Adj,28898
anlıyorum,anlamak,Verb,28890
düşünüyorsun,düşünmek,Verb,28878
eder,etmek,Verb,28861
genç,genç,Adj,28728
neredeyse,neredeyse,Adv,28562
ara,ara,Adj,28515
geldim,gelmek,Verb,28353
araba,araba,Adj,28257
almak,almak,Noun,28249
söylemek,söylemek,Noun,28187
adamın,ada,Noun,28102
halde,hâl,Noun,28034
evde,ev,Noun,28012
yeniden,yeniden,Adv,27986
dünya,Dünya,Noun,27965
günü,gün,Noun,27907
altında,alt,Noun,27906
konusunda,konu,Noun,27872
yaptı,yapmak,Verb,27795
takip,takip,Noun,27760
süre,sürmek,Verb,27599
dersin,demek,Verb,27577
miyiz,mi,Ques,27544
galiba,galiba,Adv,27497
on,on,Num,27430
hızlı,hızlı,Adv,27324
göz,göz,Noun,27235
istedim,istemek,Verb,27227
konuda,konu,Noun,27195
herhangi,herhangi,Adj,27180
azından,Az,Noun,27129
komik,komik,Adj,27034
düşündüm,düşünmek,Verb,26950
söylüyor,söylemek,Verb,26891
oğlum,oğul,Noun,26870
duydum,duymak,Verb,26831
evlat,evlât,Noun,26803
çocuğu,çocuk,Noun,26772
işin,iş,Noun,26678
silah,silâh,Noun,26658
hepimiz,hep,Pron,26630
şuna,şu,Pron,26563
çalışıyorum,çalışmak,Verb,26542
ancak,ancak,Conj,26504
ciddi,ciddi,Adj,26458
herif,herif,Noun,26189
vay,vay,Interj,26184
hayatım,hayat,Noun,26169
ev,ev,Noun,26168
kaldı,kalmak,Verb,26163
boş,boş,Adj,26079
gidiyorum,gitmek,Verb,25945
çıktı,çıkmak,Verb,25922
sende,se,Noun,25863
altı,altı,Num,25862
şeyin,şey,Noun,25804
hava,hava,Adj,25685
savaş,savaş,Noun,25673
bin,bin,Num,25648
rahat,rahat,Adv,25627
garip,garip,Interj,25592
hayatta,hayat,Noun,25570
olacağım,Unk,Unk,25534
oyun,oymak,Verb,25485
olduğuna,olmak,Noun,25478
kimin,kim,Pron,25450
bebek,bebek,Interj,25421
düşünüyorum,düşünmek,Verb,25410
alo,alo,Interj,25376
gelen,gelen,Adj,25349
hareket,hareket,Noun,25188
arada,ara,Noun,25100
hayal,Hayal,Noun,25097
soru,sorumak,Verb,25093
yakın,yakın,Adv,25002
in,inmek,Verb,24795
yaptığını,yapmak,Noun,24775
el,el,Noun,24755
gidiyoruz,gitmek,Verb,24649
çalışıyor,çalışmak,Verb,24554
kapıyı,kapı,Noun,24548
hayat,hayat,Noun,24528
gelip,Unk,Unk,24484
başladı,başlamak,Verb,24474
telefon,telefon,Noun,24431
güçlü,güçlü,Adj,24394
new,New,Noun,24267
muhtemelen,muhtemelen,Adv,24239
verdi,vermek,Verb,24175
nasılsın,nasıl,Verb,24144
durumda,durum,Noun,24129
çeneni,çene,Noun,24094
sürü,sürümek,Verb,24082
böylece,böylece,Adv,24061
yeterince,yeterince,Adv,23997
be,be,Interj,23973
şaka,şaka,Noun,23909
şeye,Şe,Noun,23897
ihtiyacı,ihtiyaç,Noun,23789
haklısın,Hak,Verb,23775
ait,ait,Postp,23754
arkadaşım,arkadaş,Noun,23728
acele,acele,Adj,23686
durun,durmak,Verb,23680
anladım,anlamak,Verb,23656
beyler,bey,Noun,23649
verin,vermek,Verb,23570
yolunda,yol,Noun,23416
kesin,kesin,Adj,23356
varsa,varmak,Verb,23280
olacağını,Unk,Unk,23256
üzerine,üzerine,Adv,23089
şeyleri,şey,Noun,22938
dışında,dış,Noun,22887
iyiyim,iyi,Verb,22868
baban,baba,Noun,22847
gizli,gizli,Adv,22831
bilmek,bilmek,Noun,22792
birinin,biri,Pron,22749
kısa,kısa,Adj,22733
ortaya,Orta,Noun,22561
hepsini,hepsi,Pron,22529
çıkar,çıkmak,Verb,22496
olay,olay,Noun,22492
beyaz,beyaz,Adj,22477
dans,dans,Noun,22425
zarar,zarar,Noun,22396
kardeşim,kardeş,Noun,22394
arasında,ara,Noun,22392
geldin,gelmek,Verb,22392
kapa,kapmak,Verb,22361
hatta,hatta,Adv,22350
gidiyorsun,gitmek,Verb,22341
gelir,gelir,Noun,22331
günaydın,günaydın,Interj,22236
olmadan,olmak,Adv,22140
yapacağım,Unk,Unk,22139
verdim,vermek,Verb,22089
memnun,memnun,Adv,22039
kızı,kız,Noun,22022
olmayacak,olmak,Verb,21963
geceler,gecelemek,Verb,21915
tür,tür,Adj,21913
geçti,geçmek,Verb,21889
veriyorum,vermek,Verb,21888
yapamam,Unk,Unk,21841
uygun,uygun,Adj,21836
sam,sam,Noun,21800
sanıyorsun,sanmak,Verb,21791
terk,terk,Noun,21772
neyi,ne,Pron,21762
sanıyordum,sanmak,Verb,21748
sevindim,sevinmek,Verb,21710
etmeye,etmek,Verb,21656
kere,ker,Noun,21629
sürekli,sürekli,Adv,21599
ölü,ölü,Adj,21598
fikir,fikir,Noun,21565
değildir,değil,Verb,21522
tahmin,tahmin,Noun,21512
neydi,ne,Verb,21448
canım,Can,Noun,21373
yüksek,yüksek,Adj,21308
korkunç,korkunç,Adj,21305
zamanda,zaman,Noun,21243
yaşlı,yaş,Adj,21232
sensin,Sensin,Noun,21160
hissediyorum,hissetmek,Verb,21147
güle,gülmek,Verb,21075
olmadı,olmak,Verb,21071
ölüm,ölüm,Interj,21048
İçeri,içeri,Adj,21040
herşey,herşey,Noun,20998
mısınız,mı,Ques,20964
sağol,sağolmak,Verb,20927
aldı,almak,Verb,20915
dolu,dolu,Adj,20913
gerektiğini,gerekmek,Noun,20888
çeviri,çeviri,Noun,20866
anladın,anlamak,Verb,20807
çık,çıkmak,Verb,20782
acaba,acaba,Adv,20697
olurdu,olur,Verb,20655
gelin,gelin,Noun,20623
ihtiyacın,ihtiyaç,Noun,20617
parayı,para,Noun,20588
içine,iç,Noun,20581
ihtiyacımız,ihtiyaç,Noun,20580
rahatsız,rahat,Adj,20518
güvenlik,Güvenlik,Noun,20496
neyin,ne,Pron,20437
edecek,etmek,Adj,20416
acı,acı,Adj,20383
biliyordum,bilemek,Verb,20359
ediyorsun,Unk,Unk,20332
diyorsun,demek,Verb,20251
bırakın,bırakmak,Verb,20242
hasta,hasta,Adj,20239
çek,çekmek,Verb,20185
geliyorum,Unk,Unk,20147
üzere,üzere,Postp,20021
bizimle,biz,Pron,19899
milyon,milyon,Num,19893
sizinle,siz,Pron,19853
mümkün,mümkün,Adj,19784
tuhaf,tuhaf,Adj,19700
yakında,yakında,Adv,19687
annen,Anne,Noun,19661
dön,dönmek,Verb,19645
affedersiniz,affetmek,Verb,19635
charlie,Charlie,Noun,19626
eden,E,Noun,19607
yemin,yem,Noun,19571
berbat,berbat,Adj,19568
dedin,demek,Verb,19515
dikkatli,dikkatli,Adj,19510
dünyanın,Dünya,Noun,19455
siktir,sikmek,Verb,19454
ana,ana,Adj,19433
frank,Frank,Noun,19420
otur,oturmak,Verb,19395
aşağı,aşağı,Postp,19381
yapacağız,Unk,Unk,19373
burda,bura,Noun,19204
normal,normal,Adj,19191
yapacak,Unk,Unk,19129
şöyle,şöyle,Adv,19064
vermek,vermek,Noun,19062
dışarıda,dışarı,Noun,19024
yapmaya,yapmak,Verb,18948
yapıyorum,Unk,Unk,18900
başkan,başkan,Noun,18843
varmış,varmak,Adj,18831
olmayan,olmak,Adj,18820
anlaşıldı,anlaşmak,Verb,18733
istedi,istemek,Verb,18680
deli,deli,Adj,18598
yukarı,yukarı,Postp,18597
belli,belli,Adj,18564
şans,şans,Noun,18523
birine,biri,Pron,18515
söyledin,söylemek,Verb,18504
at,atmak,Verb,18483
istediğini,istemek,Noun,18478
oradan,ora,Noun,18423
kaptan,kap,Noun,18418
tatlı,tatlı,Adv,18417
dek,dek,Postp,18341
michael,Michael,Noun,18337
seks,seks,Noun,18284
pardon,Pardo,Noun,18234
istersen,istemek,Verb,18222
duydun,duymak,Verb,18201
bilmem,bilmek,Verb,18190
nefes,nefes,Noun,18161
yapar,Unk,Unk,18152
güç,güç,Adj,18085
hata,hata,Noun,18010
getir,getirmek,Verb,17981
olup,Unk,Unk,17905
ettin,etmek,Verb,17838
keşke,keşke,Interj,17837
insanların,insan,Noun,17813
bununla,bu,Pron,17808
tut,tutmak,Verb,17803
bi,Unk,Unk,17790
yalnızca,yalnızca,Adv,17788
biliyoruz,bilemek,Verb,17778
inanamıyorum,inanmak,Verb,17744
koca,koca,Adj,17736
ajan,ajan,Noun,17724
kahve,kahve,Noun,17700
benziyor,benzemek,Verb,17692
neye,ne,Pron,17668
herşeyi,herşey,Noun,17655
isterim,istemek,Verb,17631
sefer,sefer,Noun,17628
evine,ev,Noun,17590
yeri,yer,Noun,17564
görüyorum,Unk,Unk,17555
basit,basit,Adj,17547
herkesin,herkes,Pron,17523
kızlar,kız,Noun,17506
hayatını,hayat,Noun,17438
üstüne,üstüne,Adv,17418
durumu,durum,Noun,17355
yavaş,yavaş,Adj,17341
İnsanlar,insan,Noun,17336
aile,aile,Noun,17316
tehlikeli,tehlike,Adj,17213
dalga,dalga,Noun,17207
baş,baş,Noun,17154
aldın,almak,Verb,17140
bayım,bay,Noun,17125
millet,millet,Noun,17118
yaşında,yaş,Noun,17104
ufak,ufak,Adj,17092
bilgi,bilgi,Noun,17083
ele,elemek,Verb,17046
buradayım,bura,Verb,17034
yeterli,yeterli,Adj,16991
aynen,aynen,Adv,16933
gidin,gitmek,Verb,16889
yıldır,Yıldır,Noun,16845
bunların,bu,Pron,16828
miydi,mi,Ques,16778
olası,olası,Adj,16761
zamandır,zaman,Verb,16739
herhalde,herhâlde,Adv,16728
george,George,Noun,16718
ahbap,ahbap,Interj,16694
sessiz,sessiz,Adv,16692
köpek,köpek,Noun,16673
kahrolası,kahrolası,Adj,16668
alıp,Unk,Unk,16622
sıcak,sıcak,Adj,16601
temiz,temiz,Adj,16584
olmalısın,Unk,Unk,16575
yüz,yüz,Num,16559
görünüyorsun,görünmek,Verb,16535
önünde,ön,Noun,16478
arkadaş,arkadaş,Noun,16460
olmasını,olmak,Noun,16407
dair,dair,Postp,16384
bilmiyor,bilmek,Verb,16333
görüyor,Unk,Unk,16323
anlamıyorum,anlamak,Verb,16273
hoşça,hoş,Adv,16260
vakit,Vakit,Noun,16225
yapmam,yapmak,Verb,16198
söylüyorum,söylemek,Verb,16188
yedi,yedi,Num,16183
olacaksın,Unk,Unk,16183
düşünüyor,düşünmek,Verb,16183
söylemiştim,söylemek,Verb,16165
doğum,Doğu,Noun,16093
adını,ad,Noun,16034
olduğun,olmak,Adj,15990
yapacaksın,Unk,Unk,15964
diyorum,demek,Verb,15942
tom,Tom,Noun,15934
düşün,düşmek,Verb,15934
diyor,demek,Verb,15906
buldun,bulmak,Verb,15898
alın,alınmak,Verb,15822
erken,erken,Adv,15803
ses,ses,Noun,15765
konu,konu,Noun,15730
acil,acil,Adj,15679
istediğin,istemek,Adj,15671
bilemiyorum,bilemek,Verb,15662
kızım,kız,Noun,15648
haklı,Hak,Adj,15636
kimsenin,kimse,Noun,15593
adına,adına,Adv,15593
sesini,se,Noun,15584
mıydı,mı,Ques,15576
olsaydı,olmak,Verb,15552
ikinci,ikinci,Num,15537
bulmak,bulmak,Noun,15537
tıpkı,tıpkı,Adv,15521
yerinde,yerinde,Adv,15475
gitmem,gitmek,Verb,15463
uyuşturucu,uyuşturmak,Adj,15461
aşk,aşk,Noun,15456
sonraki,sonra,Adj,15418
peter,Peter,Noun,15398
işler,işlemek,Verb,15389
canlı,canlı,Adj,15374
birden,birden,Adv,15371
ta,ta,Adv,15345
çekil,çekilmek,Verb,15329
yoktur,yok,Verb,15321
olduğum,olmak,Adj,15311
bilmiyordum,bilmek,Verb,15306
numara,numara,Noun,15297
üstünde,üst,Noun,15294
bilir,bilir,Adj,15261
orospu,orospu,Noun,15260
insanları,insan,Noun,15253
edeceğim,Unk,Unk,15239
arkadaşın,arkadaş,Noun,15202
